kafka-init-1  | 2026-09-21T22:07:14.446939032Z 	Topic: dados-sensores	Partition: 0	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:07:14.447449175Z 	Topic: dados-sensores	Partition: 1	Leader: 1	Replicas: 1,2,3	Isr: 1,3,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:07:14.447889412Z 	Topic: dados-sensores	Partition: 2	Leader: 2	Replicas: 2,3,1	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:07:14.448553368Z 	Topic: dados-sensores	Partition: 3	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:07:14.449523850Z 	Topic: dados-sensores	Partition: 4	Leader: 1	Replicas: 1,2,3	Isr: 1,3,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:07:14.449537151Z 	Topic: dados-sensores	Partition: 5	Leader: 2	Replicas: 2,3,1	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:07:46.812407331Z Topic: dados-sensores	TopicId: TOQUTEIYQC2WEzitbIedXg	PartitionCount: 6	ReplicationFactor: 3	Configs: min.insync.replicas=2
kafka-init-1  | 2026-09-21T22:07:46.814344694Z 	Topic: dados-sensores	Partition: 0	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:07:46.814606116Z 	Topic: dados-sensores	Partition: 1	Leader: 1	Replicas: 1,2,3	Isr: 1,3,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:07:46.815266671Z 	Topic: dados-sensores	Partition: 2	Leader: 2	Replicas: 2,3,1	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:07:46.815517192Z 	Topic: dados-sensores	Partition: 3	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:07:46.815934727Z 	Topic: dados-sensores	Partition: 4	Leader: 1	Replicas: 1,2,3	Isr: 1,3,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:07:46.816196649Z 	Topic: dados-sensores	Partition: 5	Leader: 2	Replicas: 2,3,1	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:08:13.862277204Z Topic: dados-sensores	TopicId: TOQUTEIYQC2WEzitbIedXg	PartitionCount: 6	ReplicationFactor: 3	Configs: min.insync.replicas=2
kafka-init-1  | 2026-09-21T22:08:13.864382781Z 	Topic: dados-sensores	Partition: 0	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:08:13.864402083Z 	Topic: dados-sensores	Partition: 1	Leader: 1	Replicas: 1,2,3	Isr: 1,3,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:08:13.864404983Z 	Topic: dados-sensores	Partition: 2	Leader: 2	Replicas: 2,3,1	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:08:13.864406883Z 	Topic: dados-sensores	Partition: 3	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:08:13.864408683Z 	Topic: dados-sensores	Partition: 4	Leader: 1	Replicas: 1,2,3	Isr: 1,3,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:08:13.865477473Z 	Topic: dados-sensores	Partition: 5	Leader: 2	Replicas: 2,3,1	Isr: 3,1,2	Elr: 	LastKnownElr: 
