sensor-producer-1  | 2026-09-21T21:54:42.068592335Z 2026-09-21 21:54:42.068 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=271 entregues=270 falhas=0
sensor-producer-2  | 2026-09-21T21:54:31.591813273Z 2026-09-21 21:54:31.590 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=251 entregues=250 falhas=0
sensor-producer-2  | 2026-09-21T21:54:36.596262563Z 2026-09-21 21:54:36.595 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=261 entregues=260 falhas=0
sensor-producer-2  | 2026-09-21T21:54:41.601671281Z 2026-09-21 21:54:41.601 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=271 entregues=270 falhas=0
sensor-producer-2  | 2026-09-21T21:54:46.606168840Z 2026-09-21 21:54:46.605 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=281 entregues=280 falhas=0
sensor-producer-2  | 2026-09-21T21:54:51.607260829Z 2026-09-21 21:54:51.606 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=291 entregues=290 falhas=0
sensor-producer-2  | 2026-09-21T21:54:56.612733720Z 2026-09-21 21:54:56.611 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=301 entregues=300 falhas=0
sensor-producer-2  | 2026-09-21T21:55:01.621185261Z 2026-09-21 21:55:01.620 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=311 entregues=310 falhas=0
sensor-producer-1  | 2026-09-21T21:54:47.074028821Z 2026-09-21 21:54:47.073 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=281 entregues=280 falhas=0
sensor-producer-1  | 2026-09-21T21:54:52.075588262Z 2026-09-21 21:54:52.075 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=291 entregues=290 falhas=0
sensor-producer-1  | 2026-09-21T21:54:57.082200913Z 2026-09-21 21:54:57.081 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=301 entregues=300 falhas=0
sensor-producer-1  | 2026-09-21T21:55:02.089872037Z 2026-09-21 21:55:02.089 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=311 entregues=310 falhas=0
sensor-producer-1  | 2026-09-21T21:55:07.095077237Z 2026-09-21 21:55:07.094 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=321 entregues=320 falhas=0
sensor-producer-1  | 2026-09-21T21:55:12.101292815Z 2026-09-21 21:55:12.100 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=331 entregues=330 falhas=0
sensor-producer-1  | 2026-09-21T21:55:17.107215146Z 2026-09-21 21:55:17.106 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=341 entregues=340 falhas=0
sensor-producer-1  | 2026-09-21T21:55:22.116964244Z 2026-09-21 21:55:22.116 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=351 entregues=350 falhas=0
sensor-producer-1  | 2026-09-21T21:55:27.122284353Z 2026-09-21 21:55:27.121 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=361 entregues=360 falhas=0
sensor-producer-1  | 2026-09-21T21:55:32.129883382Z 2026-09-21 21:55:32.128 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=371 entregues=370 falhas=0
sensor-producer-1  | 2026-09-21T21:55:37.134598234Z 2026-09-21 21:55:37.134 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=381 entregues=380 falhas=0
sensor-producer-2  | 2026-09-21T21:55:06.626243123Z 2026-09-21 21:55:06.625 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=321 entregues=320 falhas=0
sensor-producer-2  | 2026-09-21T21:55:11.631620129Z 2026-09-21 21:55:11.630 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=331 entregues=330 falhas=0
sensor-producer-2  | 2026-09-21T21:55:16.637973128Z 2026-09-21 21:55:16.636 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=341 entregues=340 falhas=0
sensor-producer-2  | 2026-09-21T21:55:21.638909723Z 2026-09-21 21:55:21.638 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=351 entregues=350 falhas=0
sensor-producer-2  | 2026-09-21T21:55:26.644928862Z 2026-09-21 21:55:26.644 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=361 entregues=360 falhas=0
sensor-producer-1  | 2026-09-21T21:55:42.140476474Z 2026-09-21 21:55:42.139 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=391 entregues=390 falhas=0
sensor-producer-1  | 2026-09-21T21:55:47.144986465Z 2026-09-21 21:55:47.144 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=401 entregues=400 falhas=0
sensor-producer-1  | 2026-09-21T21:55:52.150049475Z 2026-09-21 21:55:52.149 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=411 entregues=410 falhas=0
sensor-producer-2  | 2026-09-21T21:55:31.651565382Z 2026-09-21 21:55:31.651 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=371 entregues=370 falhas=0
sensor-producer-2  | 2026-09-21T21:55:36.658037876Z 2026-09-21 21:55:36.657 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=381 entregues=380 falhas=0
sensor-producer-2  | 2026-09-21T21:55:41.663897514Z 2026-09-21 21:55:41.663 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=391 entregues=390 falhas=0
sensor-producer-2  | 2026-09-21T21:55:46.670068337Z 2026-09-21 21:55:46.669 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=401 entregues=400 falhas=0
sensor-producer-2  | 2026-09-21T21:55:51.674601986Z 2026-09-21 21:55:51.674 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=411 entregues=410 falhas=0
sensor-producer-2  | 2026-09-21T21:55:56.684442577Z 2026-09-21 21:55:56.683 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=421 entregues=420 falhas=0
sensor-producer-2  | 2026-09-21T21:56:01.690922481Z 2026-09-21 21:56:01.690 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=431 entregues=430 falhas=0
sensor-producer-2  | 2026-09-21T21:56:06.696872256Z 2026-09-21 21:56:06.696 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=441 entregues=440 falhas=0
sensor-producer-1  | 2026-09-21T21:55:57.156083134Z 2026-09-21 21:55:57.155 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=421 entregues=420 falhas=0
sensor-producer-1  | 2026-09-21T21:56:02.163164850Z 2026-09-21 21:56:02.161 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=431 entregues=430 falhas=0
sensor-producer-1  | 2026-09-21T21:56:07.168636535Z 2026-09-21 21:56:07.168 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=441 entregues=440 falhas=0
sensor-producer-1  | 2026-09-21T21:56:12.174548332Z 2026-09-21 21:56:12.174 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=451 entregues=450 falhas=0
sensor-producer-1  | 2026-09-21T21:56:17.180876756Z 2026-09-21 21:56:17.180 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=461 entregues=460 falhas=0
sensor-producer-1  | 2026-09-21T21:56:22.185405473Z 2026-09-21 21:56:22.185 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=471 entregues=470 falhas=0
sensor-producer-1  | 2026-09-21T21:56:27.192479357Z 2026-09-21 21:56:27.191 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=481 entregues=480 falhas=0
sensor-producer-3  | 2026-09-21T21:53:16.213118852Z 2026-09-21 21:53:16.212 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=100 entregues=99 falhas=0
sensor-producer-3  | 2026-09-21T21:53:21.221190764Z 2026-09-21 21:53:21.219 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=110 entregues=109 falhas=0
sensor-producer-3  | 2026-09-21T21:53:26.224765790Z 2026-09-21 21:53:26.224 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=120 entregues=119 falhas=0
sensor-producer-3  | 2026-09-21T21:53:31.231809989Z 2026-09-21 21:53:31.231 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=130 entregues=129 falhas=0
sensor-producer-3  | 2026-09-21T21:53:36.238853800Z 2026-09-21 21:53:36.238 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=140 entregues=139 falhas=0
sensor-producer-3  | 2026-09-21T21:53:41.248511712Z 2026-09-21 21:53:41.247 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=150 entregues=149 falhas=0
sensor-producer-3  | 2026-09-21T21:53:46.255551761Z 2026-09-21 21:53:46.255 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=160 entregues=159 falhas=0
sensor-producer-3  | 2026-09-21T21:53:51.261975997Z 2026-09-21 21:53:51.261 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=170 entregues=169 falhas=0
sensor-producer-3  | 2026-09-21T21:53:56.760658397Z 2026-09-21 21:53:56.759 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=181 entregues=180 falhas=0
sensor-producer-3  | 2026-09-21T21:54:01.765954641Z 2026-09-21 21:54:01.765 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=191 entregues=190 falhas=0
sensor-producer-3  | 2026-09-21T21:54:06.772408496Z 2026-09-21 21:54:06.772 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=201 entregues=200 falhas=0
sensor-producer-3  | 2026-09-21T21:54:11.778236724Z 2026-09-21 21:54:11.777 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=211 entregues=210 falhas=0
sensor-producer-2  | 2026-09-21T21:56:11.701761436Z 2026-09-21 21:56:11.701 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=451 entregues=450 falhas=0
sensor-producer-2  | 2026-09-21T21:56:16.706367397Z 2026-09-21 21:56:16.706 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=461 entregues=460 falhas=0
sensor-producer-2  | 2026-09-21T21:56:21.709214370Z 2026-09-21 21:56:21.708 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=471 entregues=470 falhas=0
